id,value,depth,uniprot, organism, group, hasPDB, hasExperimental
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae,,11,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae,,12,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae,,13,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae,,14,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae,,15,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae,,16,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae,,17,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae,,18,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae,,19,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae,,20,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae,,21,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae.b3f8bc70-027e-11e7-b572-408d5c94fbae,,22,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae.b3f8bc70-027e-11e7-b572-408d5c94fbae.b3f8bc71-027e-11e7-b572-408d5c94fbae,,23,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae.b3f8bc70-027e-11e7-b572-408d5c94fbae.b3f8bc71-027e-11e7-b572-408d5c94fbae.b3f8bc72-027e-11e7-b572-408d5c94fbae,,24,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae.b3f8bc70-027e-11e7-b572-408d5c94fbae.b3f8bc71-027e-11e7-b572-408d5c94fbae.b3f8bc72-027e-11e7-b572-408d5c94fbae.b3f8bc73-027e-11e7-b572-408d5c94fbae,,25,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae.b3f8bc70-027e-11e7-b572-408d5c94fbae.b3f8bc71-027e-11e7-b572-408d5c94fbae.b3f8bc72-027e-11e7-b572-408d5c94fbae.b3f8bc73-027e-11e7-b572-408d5c94fbae.b3f8bc74-027e-11e7-b572-408d5c94fbae,,26,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae.b3f8bc70-027e-11e7-b572-408d5c94fbae.b3f8bc71-027e-11e7-b572-408d5c94fbae.b3f8bc72-027e-11e7-b572-408d5c94fbae.b3f8bc73-027e-11e7-b572-408d5c94fbae.b3f8bc74-027e-11e7-b572-408d5c94fbae.b3f8bc75-027e-11e7-b572-408d5c94fbae,,27,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae.b3f8bc70-027e-11e7-b572-408d5c94fbae.b3f8bc71-027e-11e7-b572-408d5c94fbae.b3f8bc72-027e-11e7-b572-408d5c94fbae.b3f8bc73-027e-11e7-b572-408d5c94fbae.b3f8bc74-027e-11e7-b572-408d5c94fbae.b3f8bc75-027e-11e7-b572-408d5c94fbae.b3f8bc76-027e-11e7-b572-408d5c94fbae,,28,,,,,
b3f8bc5a-027e-11e7-b572-408d5c94fbae.b3f8bc5b-027e-11e7-b572-408d5c94fbae.b3f8bc5c-027e-11e7-b572-408d5c94fbae.b3f8bc5d-027e-11e7-b572-408d5c94fbae.b3f8bc5e-027e-11e7-b572-408d5c94fbae.b3f8bc5f-027e-11e7-b572-408d5c94fbae.b3f8bc60-027e-11e7-b572-408d5c94fbae.b3f8bc61-027e-11e7-b572-408d5c94fbae.b3f8bc62-027e-11e7-b572-408d5c94fbae.b3f8bc63-027e-11e7-b572-408d5c94fbae.b3f8bc64-027e-11e7-b572-408d5c94fbae.b3f8bc65-027e-11e7-b572-408d5c94fbae.b3f8bc66-027e-11e7-b572-408d5c94fbae.b3f8bc67-027e-11e7-b572-408d5c94fbae.b3f8bc68-027e-11e7-b572-408d5c94fbae.b3f8bc69-027e-11e7-b572-408d5c94fbae.b3f8bc6a-027e-11e7-b572-408d5c94fbae.b3f8bc6b-027e-11e7-b572-408d5c94fbae.b3f8bc6c-027e-11e7-b572-408d5c94fbae.b3f8bc6d-027e-11e7-b572-408d5c94fbae.b3f8bc6e-027e-11e7-b572-408d5c94fbae.b3f8bc6f-027e-11e7-b572-408d5c94fbae.b3f8bc70-027e-11e7-b572-408d5c94fbae.b3f8bc71-027e-11e7-b572-408d5c94fbae.b3f8bc72-027e-11e7-b572-408d5c94fbae.b3f8bc73-027e-11e7-b572-408d5c94fbae.b3f8bc74-027e-11e7-b572-408d5c94fbae.b3f8bc75-027e-11e7-b572-408d5c94fbae.b3f8bc76-027e-11e7-b572-408d5c94fbae.922,M-trHbN,29,R4M880_MYCTX,Mycobacterium tuberculosis,N,17,True
